name,pID,height,weight,birthYr,firstSeasonID
Jo Jo English,englijo01,76,195,1970,1993
Kim English,engliki01,78,200,1988,2013
James Ennis III,ennisja01,78,215,1990,2015
Tyler Ennis,ennisty01,75,194,1994,2015
Semih Erden,erdense01,84,240,1986,2011
Evan Eschmeyer,eschmev01,83,255,1975,2000
Vincenzo Esposito,esposvi01,75,198,1969,1996
Drew Eubanks,eubandr01,81,245,1997,2019
Brian Evans,evansbr01,80,220,1973,1997
Jawun Evans,evansja01,72,185,1996,2018
Jacob Evans,evansja02,76,210,1997,2019
Jeremy Evans,evansje01,81,200,1987,2011
Maurice Evans,evansma01,77,220,1978,2002
Reggie Evans,evansre01,80,245,1980,2003
Tyreke Evans,evansty01,78,220,1989,2010
Daniel Ewing,ewingda01,75,185,1983,2006
Patrick Ewing,ewingpa01,84,240,1962,1986
Patrick Ewing,ewingpa02,80,235,1984,2011
Dante Exum,exumda01,77,214,1995,2015
Christian Eyenga,eyengch01,77,210,1989,2011
Festus Ezeli,ezelife01,83,255,1989,2013
Tacko Fall,fallta01,90,311,1995,2020
Kenneth Faried,farieke01,80,220,1989,2012
Jordan Farmar,farmajo01,74,180,1986,2007
Desmon Farmer,farmede01,77,220,1981,2007
Jim Farmer,farmeji01,76,190,1964,1988
Tony Farmer,farmeto01,81,244,1970,1998
Vítor Luiz Faverani,favervi01,83,260,1988,2014
Derrick Favors,favorde01,81,265,1991,2011
Nick Fazekas,fazekni01,83,235,1985,2008
Jamie Feick,feickja01,81,255,1974,1997
Dave Feitl,feitlda01,83,235,1962,1987
Kay Felder,feldeka01,69,176,1995,2017
Cristiano Felício,feliccr01,83,270,1992,2016
Carrick Felix,felixca01,78,201,1990,2014
Noel Felix,felixno01,81,225,1981,2006
Raymond Felton,feltora01,73,205,1984,2006
Desmond Ferguson,fergude01,79,203,1977,2004
Terrance Ferguson,fergute01,78,190,1998,2018
Bruno Fernando,fernabr01,81,240,1998,2020
Rudy Fernández,fernaru01,78,185,1985,2009
Duane Ferrell,ferredu01,79,209,1965,1989
Yogi Ferrell,ferreyo01,72,178,1993,2017
Danny Ferry,ferryda01,82,230,1966,1991
Kyrylo Fesenko,fesenky01,85,288,1986,2008
Landry Fields,fieldla01,79,210,1988,2011
Michael Finley,finlemi01,79,215,1973,1996
Dorian Finney-Smith,finnedo01,79,220,1993,2017
Derek Fisher,fishede01,73,200,1974,1997
Matt Fish,fishma01,83,235,1969,1995
Gerald Fitch,fitchge01,75,188,1982,2006
Malik Fitts,fittsma01,80,230,1997,2021
Marcus Fizer,fizerma01,81,262,1978,2001
Vern Fleming,flemive01,77,185,1962,1985
Luis Flores,florelu01,74,200,1981,2005
Sleepy Floyd,floydsl01,75,170,1960,1983
Jonny Flynn,flynnjo01,72,185,1989,2010
Malachi Flynn,flynnma01,73,175,1998,2021
