name,pID,totAllStar,nbaAllStar,abaAllStar
Steve Mix,mixst01,1,1,0
Jack Molinas,molinja01,1,1,0
Gene Moore,moorege01,1,0,1
Ja Morant,moranja01,1,1,0
Calvin Murphy,murphca01,1,1,0
Dejounte Murray,murrade01,1,1,0
Calvin Natt,nattca01,1,1,0
Jameer Nelson,nelsoja01,1,1,0
Chuck Noble,noblech01,1,1,0
Charles Oakley,oaklech01,1,1,0
Mehmet Okur,okurme01,1,1,0
Ricky Pierce,piercri01,1,1,0
Kristaps Porziņģis,porzikr01,1,1,0
Jim Price,priceji01,1,1,0
Julius Randle,randlju01,1,1,0
Theo Ratliff,ratlith01,1,1,0
Michael Redd,reddmi01,1,1,0
Richie Regan,reganri01,1,1,0
Doc Rivers,riverdo01,1,1,0
Clifford Robinson,robincl02,1,1,0
Flynn Robinson,robinfl01,1,1,0
Curtis Rowe,rowecu01,1,1,0
Bob Rule,rulebo01,1,1,0
Campy Russell,russeca02,1,1,0
Cazzie Russell,russeca01,1,1,0
D'Angelo Russell,russeda01,1,1,0
Woody Sauldsberry,sauldwo01,1,1,0
Fred Schaus,schaufr01,1,1,0
Lee Shaffer,shaffle01,1,1,0
Lonnie Shelton,sheltlo01,1,1,0
Pascal Siakam,siakapa01,1,1,0
Walter Simon,simonwa01,1,0,1
Adrian Smith,smithad01,1,1,0
Steve Smith,smithst01,1,1,0
Rik Smits,smitsri01,1,1,0
Willie Somerset,somerwi01,1,0,1
John Starks,starkjo01,1,1,0
Don Sunderlage,sundedo01,1,1,0
Wally Szczerbiak,szczewa02,1,1,0
Jeff Teague,teaguje01,1,1,0
Claude Terry,terrycl01,1,0,1
Skip Thoren,thoresk01,1,0,1
Otis Thorpe,thorpot01,1,1,0
Monte Towe,towemo01,1,0,1
Dave Twardzik,twardda01,1,0,1
Nick Van Exel,vanexni01,1,1,0
Fred VanVleet,vanvlfr01,1,1,0
Chico Vaughn,vaughch01,1,0,1
Bob Verga,vergabo01,1,0,1
Gerald Wallace,wallage01,1,1,0
Paul Walther,walthpa01,1,1,0
Ben Warley,warlebe01,1,0,1
Kermit Washington,washike01,1,1,0
Trooper Washington,washitr01,1,0,1
Andrew Wiggins,wiggian01,1,1,0
Jayson Williams,willija01,1,1,0
Mo Williams,willima01,1,1,0
Zion Williamson,willizi01,1,1,0
Kevin Willis,willike02,1,1,0
Metta World Peace,artesro01,1,1,0
Max Zaslofsky,zasloma01,1,1,0
